rank	config	model	sharpe	total_return	max_drawdown	win_rate	n_trades	f1	peak_f1	valley_f1
1	w[5, 10, 20]|lb14|tr	rf	3.280	149.57	10.03	100.0	2	0.0476	0.0952	0.0000
2	w[5, 10, 20]|lb20|macd|bb	lr	2.881	298.08	19.00	73.7	19	0.1928	0.1111	0.2745
3	w[5, 10, 20]|lb20|macd|tr|c0.55	lr	2.754	307.65	24.48	65.0	20	0.2039	0.1333	0.2745
4	w[5, 10, 20]|lb20|macd|c0.55	lr	2.740	298.25	26.02	64.7	17	0.1986	0.1364	0.2609
5	w[5, 10, 20]|lb14|rsi|atr|c0.60	lr	2.738	285.40	23.93	66.7	18	0.1832	0.1111	0.2553
6	w[5, 10, 20]|lb20|macd|tr|c0.60	lr	2.725	267.36	24.48	64.7	17	0.1793	0.1364	0.2222
7	w[5, 10, 20]|lb20|macd|tr|reg	rf	2.690	74.23	1.46	100.0	1	0.0000	0.0000	0.0000
8	w[5, 10, 20]|lb20|macd|c0.60	lr	2.626	262.52	26.02	62.5	16	0.2143	0.1429	0.2857
9	w[5, 10, 20]|lb20|macd	lr	2.592	281.54	31.03	63.6	22	0.2127	0.1176	0.3077
10	w[5, 10, 20]|lb14|rsi|reg	lr	2.577	233.55	13.68	68.2	22	0.2225	0.1176	0.3273
11	w[5, 10, 20]|lb20|macd|reg	lr	2.484	255.74	26.02	61.9	21	0.2286	0.1111	0.3462
12	w[5, 10, 20]|lb20|macd|c0.65	lr	2.259	178.02	19.00	61.5	13	0.1803	0.1500	0.2105
13	w[5, 10, 20]|lb14|tr	lr	2.259	198.63	24.38	62.5	24	0.1931	0.0952	0.2909
14	w[5, 10, 20]|lb20|reg	lr	2.244	203.62	26.02	59.1	22	0.1806	0.1111	0.2500
15	w[5, 10, 20]|lb20|rsi|macd|atr|tr	lr	2.219	193.08	18.36	60.0	20	0.1366	0.1481	0.1250
16	w[5, 10, 20]|lb14|rsi|atr|reg	lr	2.184	180.62	24.07	63.6	22	0.1956	0.1111	0.2800
17	w[5, 10, 20]|lb20|bb	lr	2.132	186.53	26.02	66.7	24	0.1776	0.1053	0.2500
18	w[5, 10, 20]|lb14|rsi|atr	lr	2.114	187.06	30.77	60.0	25	0.1764	0.1194	0.2333
19	w[5, 10, 20]|lb20|macd|tr	lr	2.105	200.72	31.03	54.2	24	0.2004	0.1250	0.2759
20	w[5, 10, 20]|lb14|rsi|atr|c0.55	lr	2.100	178.19	29.75	57.1	21	0.1832	0.1356	0.2308
21	w[5, 10, 20]|lb14|rsi	rf	2.046	51.90	10.03	100.0	1	0.0556	0.0000	0.1111
22	w[5, 10, 20]|lb14|atr	rf	2.046	51.90	10.03	100.0	1	0.0556	0.0000	0.1111
23	w[5, 10, 20]|lb20|macd|tr	rf	2.046	51.90	10.03	100.0	1	0.0556	0.0000	0.1111
24	w[5, 10, 20]|lb20|rsi|macd|atr|tr	rf	2.046	51.90	10.03	100.0	1	0.0556	0.0000	0.1111
25	w[5, 10, 20]|lb14|rsi	lr	2.022	153.50	25.43	58.3	24	0.1944	0.1176	0.2712
26	w[5, 10, 20]|lb20|atr|tr	lr	2.000	146.16	16.82	50.0	20	0.1368	0.1404	0.1333
27	w[5, 10, 20]|lb20|bb	rf	1.981	49.56	10.03	100.0	1	0.0556	0.0000	0.1111
28	w[5, 10, 20]|lb14|rsi|atr|reg|c0.55	lr	1.941	142.67	24.65	60.0	20	0.1518	0.1333	0.1702
29	w[5, 10, 20]|lb20|macd|tr|reg	lr	1.931	148.90	33.41	54.5	22	0.1846	0.1429	0.2264
30	w[5, 10, 20]|lb20|macd	rf	1.877	43.24	10.03	100.0	1	0.0000	0.0000	0.0000
31	w[5, 10, 20]|lb14|atr	lr	1.833	129.88	26.41	59.1	22	0.1749	0.0857	0.2642
32	w[5, 10, 20]|lb20|macd|stoch|c0.55	lr	1.762	125.57	24.48	55.6	18	0.1813	0.1176	0.2449
33	w[5, 10, 20]|lb14|rsi|stoch	lr	1.680	132.60	32.25	51.7	29	0.2151	0.1351	0.2951
34	w[5, 10, 20]|lb10	lr	1.672	119.62	40.60	50.0	32	0.1465	0.1013	0.1918
35	w[5, 10, 20]|lb20|macd|stoch	lr	1.660	115.22	24.48	55.0	20	0.1680	0.1053	0.2308
36	w[5, 10, 20]|lb20|macd|bb	rf	1.638	40.80	10.03	50.0	2	0.0526	0.0000	0.1053
37	w[5, 10, 20]|lb20|macd|tr|stoch	lr	1.622	113.64	25.13	54.5	22	0.1627	0.1071	0.2182
38	w[10, 20, 50]|lb30|vol|rsi|macd|bb	lr	1.521	79.57	18.88	52.9	17	0.0799	0.0690	0.0909
39	w[5, 10, 20]|lb14|vol|rsi	lr	1.507	100.79	29.24	52.0	25	0.2302	0.1695	0.2909
40	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr	lr	1.483	90.92	29.32	45.5	22	0.1842	0.1509	0.2174
41	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr|c0.55	lr	1.451	83.26	26.32	47.4	19	0.1332	0.1200	0.1463
42	w[5, 10, 20]|lb10|vol	lr	1.400	84.78	26.41	51.9	27	0.1738	0.1053	0.2424
43	w[5]|lb5	rf	1.366	55.82	25.21	28.6	7	0.1155	0.0571	0.1739
44	w[5, 10, 20]|lb20|vol|rsi|macd|bb	lr	1.263	65.55	26.32	47.6	21	0.1611	0.1000	0.2222
45	w[5, 10, 20]|lb14|stoch	lr	1.130	68.28	28.44	50.0	30	0.1806	0.0800	0.2812
46	w[5, 10]|lb10	lr	1.111	81.88	45.05	42.6	47	0.1669	0.1319	0.2020
47	w[5, 10, 20]|lb20|atr|tr	rf	0.895	35.77	47.58	50.0	2	0.0000	0.0000	0.0000
48	w[5, 10, 20]|lb20|vol|rsi|macd|atr|tr|c0.60	lr	0.653	27.21	38.29	44.4	18	0.1210	0.1395	0.1026
49	w[5, 10, 20]|lb14|rsi|atr	rf	0.615	20.12	42.78	50.0	2	0.0526	0.0000	0.1053
50	w[5, 10]|lb10	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
51	w[5, 10, 20]|lb10	rf	0.000	0.00	0.00	0.0	0	0.0455	0.0909	0.0000
52	w[5, 10, 20]|lb10	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
53	w[5, 10, 20]|lb10|vol	rf	0.000	0.00	0.00	0.0	0	0.0625	0.1250	0.0000
54	w[5, 10, 20]|lb14|rsi	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
55	w[5, 10, 20]|lb20|macd	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
56	w[5, 10, 20]|lb20|bb	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
57	w[5, 10, 20]|lb14|atr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
58	w[5, 10, 20]|lb14|tr	gb	0.000	0.00	0.00	0.0	0	0.0000	0.0000	0.0000
